,Time (ms),V_shunt_1,V_s1 (µV),V_bus_1,V_b1 (mV),I_s1 (µA),P_1 (mW),V_shunt_2,V_s2 (µV),V_bus_2,V_b2 (mV),I_s2 (µA),P_2 (mW)
0,15,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
1,24,Vs1(uV),420,Vb1(mV),4988,4200.0,20.9496,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
2,33,Vs1(uV),420,Vb1(mV),4984,4200.0,20.9328,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
3,42,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),430,Vb2(mV),4992,4300.0,21.4656
4,51,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
5,60,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
6,69,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
7,78,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),430,Vb2(mV),4992,4300.0,21.4656
8,87,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
9,96,Vs1(uV),400,Vb1(mV),4984,4000.0,19.936,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
10,105,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
11,114,Vs1(uV),390,Vb1(mV),4988,3900.0,19.4532,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
12,123,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
13,131,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
14,140,Vs1(uV),360,Vb1(mV),4988,3600.0,17.9568,Vs2(uV),450,Vb2(mV),4988,4500.0,22.446
15,149,Vs1(uV),390,Vb1(mV),4988,3900.0,19.4532,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
16,158,Vs1(uV),390,Vb1(mV),4984,3900.0,19.4376,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
17,167,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
18,176,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
19,185,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
20,194,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),390,Vb2(mV),4992,3900.0,19.4688
21,203,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),420,Vb2(mV),4984,4200.0,20.9328
22,212,Vs1(uV),390,Vb1(mV),4988,3900.0,19.4532,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
23,221,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
24,230,Vs1(uV),360,Vb1(mV),4988,3600.0,17.9568,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
25,238,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
26,247,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),450,Vb2(mV),4992,4500.0,22.464
27,256,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),420,Vb2(mV),4984,4200.0,20.9328
28,265,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
29,274,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),440,Vb2(mV),4992,4400.0,21.9648
30,283,Vs1(uV),400,Vb1(mV),4984,4000.0,19.936,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
31,292,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
32,301,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
33,310,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),470,Vb2(mV),4992,4700.0,23.4624
34,319,Vs1(uV),390,Vb1(mV),4988,3900.0,19.4532,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
35,328,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
36,337,Vs1(uV),400,Vb1(mV),4984,4000.0,19.936,Vs2(uV),460,Vb2(mV),4988,4600.0,22.9448
37,346,Vs1(uV),400,Vb1(mV),4992,4000.0,19.968,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
38,354,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
39,363,Vs1(uV),420,Vb1(mV),4988,4200.0,20.9496,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
40,372,Vs1(uV),430,Vb1(mV),4988,4300.0,21.4484,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
41,380,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),440,Vb2(mV),4992,4400.0,21.9648
42,389,Vs1(uV),410,Vb1(mV),4984,4100.0,20.4344,Vs2(uV),470,Vb2(mV),4988,4700.0,23.4436
43,398,Vs1(uV),400,Vb1(mV),4984,4000.0,19.936,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
44,407,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
45,416,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
46,425,Vs1(uV),420,Vb1(mV),4988,4200.0,20.9496,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
47,434,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),450,Vb2(mV),4988,4500.0,22.446
48,443,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
49,452,Vs1(uV),410,Vb1(mV),4984,4100.0,20.4344,Vs2(uV),450,Vb2(mV),4988,4500.0,22.446
50,460,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),430,Vb2(mV),4992,4300.0,21.4656
51,469,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),410,Vb2(mV),4992,4100.0,20.4672
52,478,Vs1(uV),360,Vb1(mV),4988,3600.0,17.9568,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
53,487,Vs1(uV),360,Vb1(mV),4992,3600.0,17.9712,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
54,496,Vs1(uV),380,Vb1(mV),4984,3800.0,18.9392,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
55,505,Vs1(uV),370,Vb1(mV),4984,3700.0,18.4408,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
56,514,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),440,Vb2(mV),4992,4400.0,21.9648
57,523,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),470,Vb2(mV),4992,4700.0,23.4624
58,532,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
59,541,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
60,550,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),450,Vb2(mV),4988,4500.0,22.446
61,559,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),460,Vb2(mV),4988,4600.0,22.9448
62,568,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
63,577,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),420,Vb2(mV),4992,4200.0,20.9664
64,585,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),430,Vb2(mV),4992,4300.0,21.4656
65,594,Vs1(uV),400,Vb1(mV),4984,4000.0,19.936,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
66,603,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),440,Vb2(mV),4992,4400.0,21.9648
67,612,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
68,621,Vs1(uV),380,Vb1(mV),4984,3800.0,18.9392,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
69,630,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
70,639,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
71,648,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
72,657,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
73,666,Vs1(uV),390,Vb1(mV),4988,3900.0,19.4532,Vs2(uV),430,Vb2(mV),4984,4300.0,21.4312
74,675,Vs1(uV),420,Vb1(mV),4988,4200.0,20.9496,Vs2(uV),420,Vb2(mV),4984,4200.0,20.9328
75,684,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
76,692,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
77,701,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),460,Vb2(mV),4988,4600.0,22.9448
78,711,Vs1(uV),420,Vb1(mV),4984,4200.0,20.9328,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
79,719,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),390,Vb2(mV),4988,3900.0,19.4532
80,728,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
81,737,Vs1(uV),400,Vb1(mV),4984,4000.0,19.936,Vs2(uV),390,Vb2(mV),4992,3900.0,19.4688
82,746,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
83,754,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),430,Vb2(mV),4984,4300.0,21.4312
84,763,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
85,772,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
86,781,Vs1(uV),410,Vb1(mV),4992,4100.0,20.4672,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
87,789,Vs1(uV),390,Vb1(mV),4984,3900.0,19.4376,Vs2(uV),420,Vb2(mV),4984,4200.0,20.9328
88,798,Vs1(uV),400,Vb1(mV),4984,4000.0,19.936,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
89,807,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
90,816,Vs1(uV),370,Vb1(mV),4984,3700.0,18.4408,Vs2(uV),420,Vb2(mV),4992,4200.0,20.9664
91,826,Vs1(uV),360,Vb1(mV),4988,3600.0,17.9568,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
92,834,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),450,Vb2(mV),4992,4500.0,22.464
93,843,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),450,Vb2(mV),4988,4500.0,22.446
94,852,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
95,861,Vs1(uV),390,Vb1(mV),4988,3900.0,19.4532,Vs2(uV),410,Vb2(mV),4992,4100.0,20.4672
96,870,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
97,879,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),440,Vb2(mV),4992,4400.0,21.9648
98,888,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
99,897,Vs1(uV),380,Vb1(mV),4984,3800.0,18.9392,Vs2(uV),440,Vb2(mV),4992,4400.0,21.9648
100,905,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
101,914,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),420,Vb2(mV),4992,4200.0,20.9664
102,923,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
103,932,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),410,Vb2(mV),4992,4100.0,20.4672
104,941,Vs1(uV),400,Vb1(mV),4984,4000.0,19.936,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
105,950,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),420,Vb2(mV),4992,4200.0,20.9664
